# StockTicker, ListedExchCode, CompanyName, Sector, Industry, Total_Mark, Total_Price_Valuation_Mark, Total_Stock_Holder_Mark, Total_Analyst_Mark, EpsRegressGrowth_Reuters, EpsRegressGrowth_Reuters_rm, EpsRegressGrowth_Nasdaq, EpsRegressGrowth_Nasdaq_rm, M1QEps, M1QEps_rm, M2QEps, M2QEps_rm, M3QEps, M3QEps_rm, M4QEps, M4QEps_rm, M1QvsM2Q, M1QvsM2Q_rm, M2QvsM3Q, M2QvsM3Q_rm, M3QvsM4Q, M3QvsM4Q_rm, Pe, PEG_Reuters, PEG_Reuters_rm, PEG_Nasdaq, PEG_Nasdaq_rm, PEvsIndustry, PEvsIndustry_rm, PEvsSector, PEvsSector_rm, ReturnOnEquity, ReturnOnEquity_rm, PercentageHeldByInstitutions_Nasdaq, PercentageHeldByInstitutions_Nasdaq_rm, NetSharesTradedByInstitutions, NetSharesTradedByInstitutions_rm, NetNumOfSharesTradedByInsidersIn3M, NetNumOfSharesTradedByInsidersIn3M_rm, ClosePrice, Beta, Fair_Price_PE, Fair_Price_PE_vs_Close_Price_rm, Fair_Price_PEG_Reuters, Fair_Price_PEG_Reuters_vs_Close_Price_rm, Fair_Price_PEG_Nasdaq, Fair_Price_PEG_Nasdaq_vs_Close_Price_rm, PeterLynchAnalysis_rm, BenjaminGarhamAnalysis_rm, MomentumStrategyAnalysis_rm, JamesOShaughnessyAnalysis_rm, MotleyFoolAnalysis_rm, DavidDremanAnalysis_rm, MartinZweigAnalysis_rm, KennethFisherAnalysis_rm, VolumeChange, VolumeChange_rm
'PBIB', 'IXIC', 'Porter Bancorp Inc ', 'Financials', 'Banks', '217.92357400000003', '59.397019', '0', '3.333333', '56.0083333333', '17.291894', '0', '0', '0.308', '0', '8.626', '18.248004', '0.287', '0', '0.273', '0', '-96.42939948991422', '0', '2905.574912891986', '19.640206', '5.12820512820511', '0', '1.45', '0.025889004612424275', '20.970858', NULL, '0', '-0.9168577981651376', '20.006733', '-0.9259070005109862', '18.040478', '98.23', '21.139326', '0.2295870759289176', '0', '711283', '0', '148140', '16.591419', '13.76', '1.04', '295.69234096551725', '26.442796', '1427.6926893879731', '32.954223', NULL, '0', '0', '0', '0', '0', '0', '3.333333', '0', '0', '0.7021', '3.264304'
'KSS', 'NYSE', 'Kohls Corp ', '', 'Department Stores', '41.539528999999995', '8.574577', '18.974372', '0', '2.54761904762', '0', '6.02', '0', '0.449', '0', '1.976', '0', '0.705', '0', '1.238', '0', '-77.27732793522267', '0', '180.2836879432624', '2.000921', '-43.05331179321487', '0', '11.15', '4.376635514017056', '0', '1.8521594684385383', '0', '-0.8270781637717122', '11.989659', '-0.42168049792531126', '0', '13.14', '0', '1.0710573001182855', '18.974372', '2038930', '0', '-264582', '0', '62.26', '1.25', '209.1224058295964', '8.574577', '45.927950377206855', '0', '108.52731750811813', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.3271', '0'
'FRPH', 'IXIC', 'FRP Holdings Inc ', 'Industrials', 'Ground Freight & Logistics', '41.025967', '0', '0', '0', '8.60476190476', '0', '0', '0', '0.155', '0', '0.136', '0', '2.522', '8.736633', '0.171', '0', '13.970588235294112', '0', '-94.60745440126882', '0', '1374.8538011695905', '22.289334', '19.4', '2.2545655783070844', '0', NULL, '10', '-0.27934621099554247', '0', '-0.14949583516001752', '0', '13.46', '0', '0.47625142286570143', '0', '310561', '0', '2024', '0', '57.75', '0.86', '76.7017043814433', '0', '56.896543438931594', '0', NULL, '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.6143', '0'
'CRTO', 'IXIC', 'Criteo SA ', '', 'Advertising & Marketing', '40.68936', '10.147934', '0', '9.689655', '3.21904761905', '0', '15.47', '0', '0.294', '0', '0.798', '0', '0.29', '0', '0.088', '0', '-63.1578947368421', '0', '175.1724137931035', '0', '229.54545454545453', '16.851478', '17.84', '5.542011834315428', '0', '1.1531997414350355', '0', '-0.6858048608665023', '0', '-0.06253284287966376', '0', '12.42', '0', '0.7618567051080787', '0', '-872088', '0', '58000', '4.000293', '25.39', '1.85', '78.88526409753362', '4.5329', '21.89098461821518', '0', '105.20302030938323', '5.615034', '0', '0', '0', '0', '0', '0', '0', '9.689655', '-0.3616', '0'
'AHGP', 'IXIC', 'Alliance Holdings GP LP ', 'Energy', 'Coal', '40.564582', '0', '0', '8.333333', '6.6369047619', '0', '0', '0', '1.733', '0', '0.823', '0', '0.654', '0', '0.711', '0', '110.57108140947753', '3.006191', '25.84097859327217', '0', '-8.016877637130793', '0', '6.95', '1.047174887893128', '1.968878', NULL, '20', '-0.3951261966927764', '0', '-0.4960116026105873', '0', '37.39', '7.25618', '0.21536157559761454', '0', '231916', '0', '0', '0', '26.49', '0.64', '73.08587188489207', '0', '41.81585958107359', '0', NULL, '0', '0', '0', '0', '0', '0', '8.333333', '0', '0', '-0.6728', '0'
'NMIH', 'IXIC', 'NMI Holdings Inc ', 'Financials', 'Property & Casualty Insurance', '40.157596', '11.767433', '0', '0', '0.47380952381', '0', '40.34', '18.191257', '0.34', '0', '0.197', '0', '0.195', '0', '0.095', '0', '72.58883248730965', '0', '1.025641025641022', '0', '105.26315789473686', '10.198906', '20.79', '43.87839195975489', '0', '0.5153693604362914', '0', '0.033300198807157066', '0', '0.06234031681144603', '0', '9.67', '0', '0.891896085279002', '0', '1545105', '0', '-20161', '0', '17.3', '1.02', '25.4301012987013', '0', '1.0387089816187696', '0', '88.43536951634574', '11.767433', '0', '0', '0', '0', '0', '0', '0', '0', '-0.5611', '0'
'LFVN', 'IXIC', 'LifeVantage Corp ', 'Consumer Non-Cyclicals', 'Food Processing', '40.116919', '0', '0', '0', '0.0119047619048', '0', NULL, '0', '0.12', '0', '0.107', '0', '0.058', '0', '0.006', '0', '12.149532710280365', '0', '84.48275862068964', '0', '866.6666666666666', '25.113486', '16.45', '1381.7999999955782', '0', NULL, '8', '-0.17543859649122806', '0', '-0.5833333333333333', '7.003433', '24.42', '0', NULL, '0', NULL, '0', NULL, '0', '4.79', '0.59', '5.147281586626139', '0', '0.005282513943598737', '0', NULL, '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.3021', '0'
'FFIV', 'IXIC', 'F5 Networks Inc ', 'Technology', 'IT Services & Consulting', '39.461071000000004', '0', '0', '9.666667', '7.94642857143', '0', '7.47', '0', '1.954', '0', '1.711', '0', '2.129', '6.56914', '1.517', '0', '14.20222092343657', '0', '-19.633630812588066', '0', '40.342781806196456', '0', '19.77', '2.487910112359103', '0', '2.646586345381526', '0', '-0.0035282258064516236', '0', '-0.98413806383286', '20.987062', '32.94', '2.238202', '0.9527998512386003', '0', '-457400', '0', '-73531', '0', '174.52', '1.01', '267.1260322306525', '0', '182.9912012664128', '0', '172.0199535140495', '0', '0', '0', '0', '0', '0', '0', '9.666667', '0', '-0.6025', '0'
'CTAS', 'IXIC', 'Cintas Corp ', 'Industrials', 'Business Support Services', '38.530813', '0', '6.034793', '0', '17.3857142857', '6.080944', '19.71', '0', '3', '6.364653', '1.235', '0', '1.455', '0', '0.701', '0', '142.914979757085', '9.001037', '-15.120274914089348', '0', '107.56062767475036', '11.049386', '34.19', '1.9665571076433577', '0', '1.7346524606798577', '0', '0.2681750741839761', '0', '0.3875811688311688', '0', '20.72', '0', '0.6770020095972354', '0', '2839988', '6.034793', '-19023', '0', '180.76', '0.85', '134.64135144779175', '0', '201.7962126992955', '0', '228.77422733068758', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.1185', '0'
'TECD', 'IXIC', 'Tech Data Corp ', '', 'Computer & Electronics Retailers', '38.26172', '0', '5.982898', '9.833333', '10.2642857143', '0', '4.17', '0', '2.531', '3.326622', '0.97', '0', '1.236', '0', '0.818', '0', '160.9278350515464', '11.010329', '-21.521035598705506', '0', '51.1002444987775', '0', '14.43', '1.4058455114802981', '0', '3.460431654676259', '0', '-0.18057921635434415', '0', '-0.24172359432475043', '0', '8.33', '0', '0.9938046685292045', '5.982898', '1727962', '0', '66528', '8.108538', '80.51', '0.86', '143.760061995842', '0', '127.20640953713821', '0', '51.679263665746646', '0', '0', '9.833333', '0', '0', '0', '0', '0', '0', '-0.2587', '0'
'TRS', 'IXIC', 'TriMas Corp ', 'Basic Materials', 'Non-Paper Containers & Packaging', '35.983922', '0', '7.974022', '0', '8.97380952381', '0', '6.27', '0', '0.526', '0', '0.19', '0', '0.285', '0', '0.323', '0', '176.84210526315792', '13.007919', '-33.33333333333333', '0', '-11.764705882352954', '0', '21.7', '2.418148049880476', '0', '3.4609250398724085', '0', '-0.06505816458423097', '0', '-0.16538461538461546', '0', '11.34', '0', '0.9951657521121854', '7.974022', '10914', '0', '113806', '15.001981', '28.95', '1.79', '71.54811062211982', '0', '55.34992383718882', '0', '38.67298737936993', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.4678', '0'
'LLL', 'NYSE', 'L3 Technologies Inc ', 'Industrials', 'AERO/DEF', '35.863279', '0', '0', '0', '7.48095238095', '0', '13.11', '0', '2.34', '1.387584', '3.58', '8.465022', '0.288', '0', '2.541', '12.594007', '-34.6368715083799', '0', '1143.0555555555557', '13.416666', '-88.66587957497049', '0', '22.64', '3.0263526416304987', '0', '1.7269260106788713', '0', '-0.12009327633113098', '0', '-0.004397537379067673', '0', '13.96', '0', '0.8151899106767415', '0', '1559128', '0', '-438352', '0', '198.08', '1.2', '314.5587392226148', '0', '202.86197837379748', '0', '355.50560958693796', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.3702', '0'
'QRTEB', 'IXIC', 'Qurate Retail Inc ', NULL, 'Department Stores', '34.559264999999996', '11.569751', '0', '0', '6.933333333329999', '0', '0', '0', '0.505', '0', '1.035', '0', '0.263', '0', '0.244', '0', '-51.20772946859903', '0', '293.5361216730037', '8.000704', '7.7868852459016535', '0', '10.47', '1.51009615384688', '0', NULL, '0', '-0.8538321932151334', '14.98881', '-0.4498160798738834', '0', '17.17', '0', '0.004439083687166142', '0', '-27841', '0', '0', '0', '21.71', '1.35', '83.86933796561604', '11.569751', '50.1287997035625', '0', NULL, '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.4326', '0'
'JBHT', 'IXIC', 'J B Hunt Transport Services Inc ', 'Industrials', 'Ground Freight & Logistics', '34.005962', '0', '0', '0', '16.4369047619', '3.052047', '18.89', '0', '1.066', '0', '3.617', '9.466371', '0.907', '0', '0.883', '0', '-70.52806192977606', '0', '298.78721058434394', '9.004398', '2.7180067950169917', '0', '19.83', '1.2064315202437044', '0', '1.0497617787188989', '0', '-0.26555555555555566', '0', '-0.12796833773087068', '0', '43.25', '12.483146', '0.7572095595604716', '0', '-109451', '0', '-238577', '0', '128.39', '0.96', '186.2241592738275', '0', '263.87489399558615', '0', '303.25641109332776', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.212', '0'
'QRTEA', 'IXIC', 'Qurate Retail Inc ', NULL, 'Department Stores', '33.533208', '12.519206', '0', '0', '6.933333333329999', '0', '0', '0', '0.505', '0', '1.035', '0', '0.263', '0', '0.244', '0', '-51.20772946859903', '0', '293.5361216730037', '7.004306', '7.7868852459016535', '0', '10.47', '1.51009615384688', '0', NULL, '0', '-0.8538321932151334', '14.009696', '-0.4498160798738834', '0', '17.17', '0', '0.90453673865437', '0', '-20321503', '0', '0', '0', '21.13', '1.35', '81.62870157593123', '12.519206', '48.7895687580044', '0', NULL, '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.0439', '0'
'BRKS', 'IXIC', 'Brooks Automation Inc ', 'Technology', 'Semiconductor Equipment & Testing', '32.846712', '0', '15.819292999999998', '0', '7.42380952381', '0', '16.61', '0', '0.939', '0', '0.223', '0', '0.244', '0', '0.246', '0', '321.07623318385646', '17.027419', '-8.606557377049173', '0', '-0.8130081300813052', '0', '18.52', '2.494676074406511', '0', '1.114990969295605', '0', '-0.010683760683760646', '0', '0.5910652920962198', '0', '18.42', '0', '0.9836800511145819', '4.974837', '5244935', '10.844456', '-145606', '0', '31.19', '1.08', '54.49472339092873', '0', '34.87572814715244', '0', '78.03080651063158', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.3026', '0'
'UCTT', 'IXIC', 'Ultra Clean Holdings Inc ', 'Technology', 'Semiconductor Equipment & Testing', '32.778018', '14.731809000000002', '2.025372', '9', '9.02142857143', '0', '8.96', '0', '0.66', '0', '0.499', '0', '0.574', '0', '0.592', '0', '32.26452905811623', '0', '-13.066202090592327', '0', '-3.0405405405405483', '0', '7.24', '0.8025336500394612', '7.020837', '0.8080357142857142', '0', '-0.6132478632478633', '0', '-0.37800687285223367', '0', '25.14', '0', '0.8706017715112075', '0', '2116177', '2.025372', '-22975', '0', '16.87', '0.91', '63.52932095303868', '10.545158', '49.407347514593944', '4.186651', '49.07092377062299', '0', '0', '0', '0', '0', '0', '9', '0', '0', '-0.4809', '0'
'GIS', 'NYSE', 'General Mills Inc ', 'Consumer Non-Cyclicals', 'Food Processing', '32.451536', '0', '12.180908', '0', '1.22738095238', '0', '1.74', '0', '0.751', '0', '0.742', '0', '0.69', '0', '0.695', '0', '1.21293800539084', '0', '7.536231884057987', '0', '-0.7194244604316502', '0', '14.82', '12.074490785654376', '0', '8.517241379310345', '0', '-0.2749510763209394', '0', '-0.6324404761904762', '13.985235', '37.25', '6.285393', '0.7564884568097193', '0', '5547228', '12.180908', '-22746', '0', '42.64', '0.76', '65.51472000000001', '0', '6.932027536940432', '0', '9.827207999999999', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.2426', '0'
'AVY', 'NYSE', 'Avery Dennison Corp ', 'Basic Materials', 'Non-Paper Containers & Packaging', '31.676537000000003', '0', '0', '18.352941', '7.34642857143', '0', '8.86', '0', '1.318', '0', '1.277', '0', '1.205', '0', '1.345', '0', '3.210649960845746', '0', '5.975103734439813', '0', '-10.408921933085491', '0', '21.09', '2.870782693242028', '0', '2.3803611738148986', '0', '-0.09756097560975618', '0', '-0.21099887766554437', '0', '43.69', '13.323596', '0.8754915881905238', '0', '1064175', '0', '-167560', '0', '108.48', '1.28', '197.26015544807967', '0', '124.92738293004274', '0', '150.6659463163781', '0', '0', '0', '0', '18.352941', '0', '0', '0', '0', '-0.6197', '0'
'LFUS', 'IXIC', 'Littelfuse Inc ', 'Industrials', 'Electrical Components & Equipment', '31.65819', '0', '21.384236', '0', '6.47857142857', '0', '10.83', '0', '1.454', '0', '1.595', '0', '1.865', '3.60275', '2.113', '6.671204', '-8.84012539184953', '0', '-14.477211796246648', '0', '-11.736867013724561', '0', '30.78', '4.751047409041842', '0', '2.8421052631578947', '0', '0.08380281690140845', '0', '0.34940815431828165', '0', '14.25', '0', '1.5247404752315747', '21.384236', '-3048783', '0', '-57864', '0', '215.61', '1.05', '220.3666592105263', '0', '123.07423639402911', '0', '205.73887234913795', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.3043', '0'
'GRBK', 'IXIC', 'Green Brick Partners Inc ', '', 'Homebuilding', '31.186294', '0', '0', '0', '1.34404761905', '0', '0', '0', '0.221', '0', '0.214', '0', '0.186', '0', '0.157', '0', '3.2710280373831724', '0', '15.053763440860223', '0', '18.47133757961783', '0', '15.44', '11.487688219643069', '0', NULL, '21', '0.3379549393414212', '0', '-0.18864950078822917', '0', '9.51', '0', '0.8493707624088114', '0', '-95490', '0', '77598', '10.186294', '11.75', '1.53', '34.88496615932643', '0', '4.041987560955389', '0', NULL, '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.1214', '0'
'CGNX', 'IXIC', 'Cognex Corp ', 'Industrials', 'Industrial Machinery & Equipment', '30.081837', '6.52397', '0', '2.818182', '2.1369047619', '0', '30.72', '12.626594', '0.207', '0', '0.5', '0', '0.571', '0', '0.313', '0', '-58.60000000000001', '0', '-12.434325744308229', '0', '82.42811501597443', '8.113091', '29.28', '13.702061281367582', '0', '0.9531250000000001', '0', '0.21645201495637734', '0', '0.283647523016221', '0', '27.07', '0', '0.8622409896802669', '0', '-2091998', '0', '-10000', '0', '46.6', '1.55', '73.90993954918032', '0', '13.615388083998672', '0', '195.73390887507065', '6.52397', '2.818182', '0', '0', '0', '0', '0', '0', '0', '-0.6455', '0'
'APOG', 'IXIC', 'Apogee Enterprises Inc ', '', 'Construction Supplies & Fixtures', '30.039534000000003', '5.062665', '15.981941', '0', '1.90595238095', '0', '13.99', '0', '0.923', '0', '0.821', '0', '0.602', '0', '0.558', '0', '12.423873325213176', '0', '36.378737541528224', '0', '7.8853046594981935', '0', '14.78', '7.7546533416711485', '0', '1.0564689063616868', '0', '-0.7949784990983493', '8.994928', '-0.22333158171308465', '0', '17.03', '0', '1.055679190340909', '15.981941', '993011', '0', '14806', '0', '43.02', '1.5', '130.8107801082544', '2.53383', '21.49302739665986', '0', '157.76231152711028', '2.528835', '0', '0', '0', '0', '0', '0', '0', '0', '-0.3512', '0'
'FFBC', 'IXIC', 'First Financial Bancorp ', 'Financials', 'Banks', '29.546885', '0', '0', '4.25', '0.509523809524', '0', '8.76', '0', '0.491', '0', '0.267', '0', '0.399', '0', '0.365', '0', '83.8951310861423', '0', '-33.08270676691729', '0', '9.31506849315069', '0', '21.05', '41.31308411213409', '0', '2.4029680365296806', '0', '0.20699541284403655', '0', '0.07562595809913142', '0', '10.4', '0', '0.7807416738267665', '0', '1004063', '0', '1195309', '25.296885', '31.95', '1.11', '50.477524204275525', '0', '2.217198312750206', '0', '38.11923379564256', '0', '0', '0', '0', '0', '4.25', '0', '0', '0', '-0.7359', '0'
'ETN', 'NYSE', 'Eaton Corporation PLC ', 'Industrials', 'Electrical Components & Equipment', '27.910069', '0', '0', '0', '8.71547619048', '0', '9.62', '0', '1.105', '0', '1.302', '0', '3.142', '12.679495', '1.148', '0', '-15.130568356374807', '0', '-58.56142584341184', '0', '173.69337979094078', '15.230574', '17.8', '2.042343942083522', '0', '1.8503118503118505', '0', '-0.3752193752193752', '0', '-0.2775974025974026', '0', '12.79', '0', '0.805463905785502', '0', '-147983', '0', '-33391', '0', '79', '1.37', '182.17297921348316', '0', '136.8727812830966', '0', '151.0779362098024', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.1035', '0'
'OZRK', 'IXIC', 'Bank of the Ozarks ', 'Financials', 'Banks', '27.860137', '17.041955', '0', '10.818182', '7.579761904760001', '0', '16.72', '0', '0.879', '0', '1.525', '0', '0.747', '0', '0.729', '0', '-42.36065573770491', '0', '104.14993306559572', '0', '2.4691358024691468', '0', '12.49', '1.6478090152352185', '0', '0.7470095693779905', '0', '-0.2838302752293579', '0', '-0.3617782319877363', '0', '15.49', '0', '0.9032123637668609', '0', '910591', '0', '0', '0', '48.46', '1.32', '153.4444579023219', '6.545066', '100.26486694004903', '0', '221.1716669074846', '10.496889', '10.818182', '0', '0', '0', '0', '0', '0', '0', '-0.5321', '0'
'IPAR', 'IXIC', 'Inter Parfums Inc ', 'Consumer Non-Cyclicals', 'Personal Products', '27.689481999999998', '0', '0', '0', '1.84285714286', '0', '16.11', '0', '0.506', '0', '0.175', '0', '0.545', '0', '0.216', '0', '189.14285714285714', '14.008194', '-67.88990825688074', '0', '152.31481481481484', '13.681288', '35.94', '19.50232558136511', '0', '2.2309124767225326', '0', '-0.5899132816065724', '0', '-0.08966565349544076', '0', '10.8', '0', '0.577148291404277', '0', '1105232', '0', '-91876', '0', '53.05', '1.59', '70.31706648580969', '0', '11.171061055028957', '0', '97.65585699020637', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.1389', '0'
'DAIO', 'IXIC', 'Data I/O Corp ', 'Technology', 'IT Services & Consulting', '27.575484000000003', '7.563753', '0', '0', '0.35000000000000003', '0', '0', '0', '0.015', '0', '0.118', '0', '0.204', '0', '0.143', '0', '-87.28813559322035', '0', '-42.15686274509803', '0', '42.65734265734267', '0', '14.74', '42.114285714285714', '0', NULL, '15', '-0.36873661670235547', '0', '0.26632302405498276', '0', '20.47', '0', '0.43737492465340566', '0', '20148', '0', '58681', '5.011731', '6.98', '1.6', '22.70043744911805', '7.563753', '0.6849269919992516', '0', NULL, '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.6257', '0'
'STRT', 'IXIC', 'Strattec Security Corp ', '', 'Auto, Truck & Motorcycle Parts', '27.547213', '5.524225', '0', '22.022987999999998', '7.316666666670001', '0', '0', '0', '0.717', '0', '0.629', '0', '0.667', '0', '0.482', '0', '13.990461049284564', '0', '-5.697151424287861', '0', '38.38174273858923', '0', '14.42', '1.9708428246004688', '0', NULL, '0', '-0.24817518248175185', '0', '-0.24224908039936943', '0', '6.04', '0', '0.8191644168466523', '0', '-29716', '0', '0', '0', '35.8', '1.5', '111.5745977808599', '5.524225', '70.37535693364916', '0', NULL, '0', '0', '20.333333', '0', '0', '0', '0', '0', '1.689655', '-0.0488', '0'
'UHS', 'NYSE', 'Universal Health Services Inc ', 'Healthcare', 'Healthcare Facilities & Services', '27.386522', '0', '0', '0', '5.33928571429', '0', '8.47', '0', '2.363', '2.286074', '1.997', '0', '1.471', '0', '1.91', '3.688883', '18.327491236855288', '0', '35.75798776342624', '0', '-22.984293193717264', '0', '15.08', '2.8243478260846895', '0', '1.780401416765053', '0', '-0.49900332225913624', '0', '-0.5471471471471472', '2.980059', '14.87', '0', '0.9327927342826653', '0', '96149', '0', '231244', '18.431506', '116.69', '0.83', '192.42730402519894', '0', '88.57106512250718', '0', '140.50510905977887', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.3878', '0'
'IBOC', 'IXIC', 'International Bancshares Corp ', 'Financials', 'Banks', '27.25', '0', '0', '8.25', '3.8214285714300003', '0', '0', '0', '0.799', '0', '0.629', '0', '0.594', '0', '0.608', '0', '27.02702702702704', '0', '5.892255892255904', '0', '-2.3026315789473673', '0', '16.52', '4.322990654203991', '0', NULL, '19', '-0.052752293577981724', '0', '-0.1558507920286153', '0', '9.82', '0', '0.6027691120625747', '0', '-451486', '0', '-100607', '0', '43.2', '1.46', '114.38863147699759', '0', '37.68344694594617', '0', NULL, '0', '0', '0', '0', '0', '8.25', '0', '0', '0', '-0.5171', '0'
'ETR', 'NYSE', 'Entergy Corp ', 'Utilities', 'Electric Utilities', '26.955751', '0', '0', '4.666667', '15.0011904762', '0', '-9.73', '0', '0.741', '0', '0.451', '0', '2.207', '7.603871', '2.274', '9.638793', '64.30155210643017', '0', '-79.56502038966924', '0', '-2.9463500439753765', '0', '14.06', '0.9372589477019683', '5.04642', '-1.4450154162384379', '0', '0.1239008792965628', '0', '-0.3001493280238925', '0', '12.77', '0', '0.8702861511746228', '0', '1200708', '0', '-39276', '0', '79.73', '0.44', '74.75589140825035', '0', '96.6747729511454', '0', '-62.70472615536862', '0', '0', '0', '0', '0', '0', '4.666667', '0', '0', '-0.3526', '0'
'IPGP', 'IXIC', 'IPG Photonics Corp ', 'Industrials', 'Electrical Components & Equipment', '26.215045000000003', '0', '0', '16.058824', '12.0904761905', '0', '11.85', '0', '1.906', '0', '1.858', '0', '2.113', '5.566339', '1.911', '4.589882', '2.583423035522059', '0', '-12.068149550402262', '0', '10.570381998953415', '0', '32.3', '2.6715242221294373', '0', '2.7257383966244726', '0', '0.13373113373113377', '0', '0.31087662337662314', '0', '20.04', '0', '0.5842333875980464', '0', '299937', '0', '-41404', '0', '246.16', '1.65', '376.75169052631577', '0', '392.68166758957295', '0', '384.8713390290381', '0', '0', '0', '16.058824', '0', '0', '0', '0', '0', '-0.5296', '0'
'XLNX', 'IXIC', 'Xilinx Inc ', 'Technology', 'Semiconductors', '25.985202', '0', '0', '0', '8.786904761899999', '0', '6.15', '0', '1.567', '0', '0.66', '0', '0.649', '0', '0.629', '0', '137.4242424242424', '6.00161', '1.6949152542372836', '0', '3.1796502384737746', '0', '30.8', '3.50521609538193', '0', '5.008130081300813', '0', '0.46179401993355484', '0', '-0.9752884353086538', '19.983592', '24.39', '0', '0.9157308321723603', '0', '92018', '0', '-19687', '0', '68.68', '1.08', '72.1538700779221', '0', '54.6559641876903', '0', '38.25399146372594', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.573', '0'
'NYMT', 'IXIC', 'New York Mortgage Trust Inc ', 'Financials', 'Specialized REITs', '25.773456000000003', '9.704551', '0', '0', '1.07261904762', '0', '0', '0', '0.18', '0', '0.187', '0', '0.206', '0', '0.123', '0', '-3.7433155080213942', '0', '-9.223300970873783', '0', '67.47967479674797', '3.074526', '8.95', '8.344062153155743', '0', NULL, '0', '-0.8327102803738318', '12.994379', '-0.5426673479816045', '0', '12.5', '0', '0.5002325106367796', '0', '1036511', '0', '-16080', '0', '6.2', '1.11', '23.03816782122905', '9.704551', '2.1302739333893483', '0', NULL, '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.5078', '0'
'CVS', 'NYSE', 'CVS Health Corp ', 'Consumer Non-Cyclicals', 'Drug Retailers', '25.409867000000002', '0', '0', '12.421568', '1.8190476190499998', '0', '2.22', '0', '0.977', '0', '1.744', '0', '1.257', '0', '1.067', '0', '-43.97935779816514', '0', '38.74303898170248', '0', '17.80693533270852', '0', '15.33', '8.427486910983735', '0', '6.905405405405405', '0', '-0.26930409914204', '0', '-0.6254580991937454', '12.988299', '15.36', '0', '0.8500925769638596', '0', '379910', '0', '26865', '0', '65.57', '0.9', '115.33519197651663', '0', '18.08622468599631', '0', '22.07276949895404', '0', '0', '6.833333', '0', '5.588235', '0', '0', '0', '0', '-0.2102', '0'
'WBA', 'IXIC', 'Walgreens Boots Alliance Inc ', 'Consumer Non-Cyclicals', 'Drug Retailers', '25.101426', '0', '15.533437', '4.588235', '2.99166666667', '0', '9.53', '0', '1.545', '0', '0.812', '0', '0.758', '0', '1.073', '0', '90.2709359605911', '0', '7.12401055408971', '0', '-29.3569431500466', '0', '18.47', '6.173816155981979', '0', '1.938090241343127', '0', '-0.11963775023832224', '0', '-0.5487417542145125', '4.979754', '14.01', '0', '0.6175271659858136', '0', '7695118', '15.533437', '-2736', '0', '63.91', '1.24', '128.55231794260965', '0', '33.15393832000594', '0', '105.61237844767842', '0', '0', '0', '0', '4.588235', '0', '0', '0', '0', '-0.1821', '0'
'DE', 'NYSE', 'Deere & Co ', 'Industrials', 'Heavy Machinery & Vehicles', '25.061239', '0', '0', '0', '18.6035714286', '7.10494', '19.45', '0', '3.141', '7.319072', '1.332', '0', '1.566', '0', '1.974', '5.626418', '135.81081081081078', '5.010809', '-14.942528735632187', '0', '-20.668693009118535', '0', '19.84', '1.0664618928760738', '0', '1.020051413881748', '0', '0.1575262543757292', '0', '-0.12752858399296385', '0', '28.91', '0', '0.6780282747164021', '0', '-553854', '0', '-274119', '0', '159', '0.9', '216.09975302419355', '0', '346.5713095765865', '0', '362.3396720966004', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.0078', '0'
'AMOT', 'IXIC', 'Allied Motion Technologies Inc ', 'Industrials', 'Industrial Machinery & Equipment', '24.962808000000003', '0', '0', '6.588235', '1.65714285714', '0', '0', '0', '0.45', '0', '0.347', '0', '0.329', '0', '0.24', '0', '29.68299711815563', '0', '5.4711246200607855', '0', '37.083333333333336', '0', '34.44', '20.782758620725485', '0', NULL, '16', '0.43082675529705017', '0', '0.509864094695309', '0', '14.82', '0', '0.4992858046825564', '0', '218144', '0', '16960', '0', '46.64', '1.87', '75.87405763066202', '0', '10.839151090075887', '0', NULL, '0', '0', '0', '6.588235', '0', '0', '0', '0', '0', '0.6851', '2.374573'
